rank,stadium,capacity,region,country,city,images,home_team
133,Groupama,"59,186",Europe,France,Décines-Charpieu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Stade_Lumi%C3%A8re.jpg/150px-Stade_Lumi%C3%A8re.jpg,Olympique
134,Chongqing,"58,680",East,China,Chongqing,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chongqing_Olympic_Stadium.jpg/150px-Chongqing_Olympic_Stadium.jpg,Text esta vazio
135,Kazimierz,"58,580",Europe,Poland,Warsaw,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/National_Stadium_panorama.jpg/150px-National_Stadium_panorama.jpg,Poland
136,Stadio,"58,270",Europe,Italy,"Bari,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Nuoviseggiolinisannicola.jpg/150px-Nuoviseggiolinisannicola.jpg,SSC
137,Commanders,"58,000",North,United,"Landover,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/FedexField2014.jpg/150px-FedexField2014.jpg,Washington
138,Deutsche,"58,000",Europe,Germany,Frankfurt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG/150px-Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG,Eintracht
139,Estadio,"57,619",Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg/150px-Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg,Text esta vazio
140,Carter–Finley,"57,583",North,United,"Raleigh,",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Carter_Finley_Stadium_at_Sunset.jpg/150px-Carter_Finley_Stadium_at_Sunset.jpg,NC
141,Estadio,"57,200",South,Argentina,Buenos,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/La_Bombonera.jpg/150px-La_Bombonera.jpg,CA
142,Volksparkstadion,"57,030",Europe,Germany,Hamburg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Volksparkstadion_Panorama.jpg/150px-Volksparkstadion_Panorama.jpg,Hamburger
143,Estadio,"57,000",South,Argentina,Córdoba,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Estadio_Kempes_luego_de_finalizar_un_partido.jpg/150px-Estadio_Kempes_luego_de_finalizar_un_partido.jpg,Talleres
144,Jinan,"56,808",East,China,"Jinan,",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/JinanOlympic.JPG/150px-JinanOlympic.JPG,Shandong
145,Estadio,"56,713",North,Mexico,"Guadalajara,",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Estadio_Jalisco_06022022.jpg/150px-Estadio_Jalisco_06022022.jpg,Atlas
146,Commonwealth,"56,302",North,Canada,"Edmonton,",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Commonwealth_Stadium.jpg/150px-Commonwealth_Stadium.jpg,Edmonton
147,Dodger,"56,000",North,United,Los,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg/150px-Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg,Los
148,Stade,"56,000",Africa,Algeria,Annaba,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Annaba_Stadium.jpg/150px-Annaba_Stadium.jpg,USM
149,Estadi,"55,926",Europe,Spain,"Barcelona,",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg/150px-Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg,Text esta vazio
150,Arena,"55,662",South,Brazil,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Arena_do_Gr%C3%AAmio.jpg/150px-Arena_do_Gr%C3%AAmio.jpg,Grêmio
151,Arena,"55,634",Europe,Romania,Bucharest,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Stadionul_National_-_National_Arena_3.jpg/150px-Stadionul_National_-_National_Arena_3.jpg,Romania
152,Stadion,"55,538",Europe,Serbia,Belgrade,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Zvezda_stadion.jpg/150px-Zvezda_stadion.jpg,Red
153,Stadion,"55,211",Europe,Poland,Chorzów,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Widok_bramka.jpg/150px-Widok_bramka.jpg,Poland
154,Etihad,"55,097",Europe,England,"Manchester,",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Etihad_Stadium.jpg/150px-Etihad_Stadium.jpg,Manchester
155,Mestalla,"55,000",Europe,Spain,Valencia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG/150px-CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG,Valencia
156,National,"55,000",Southeast,Singapore,Singapore,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/SingaporeNationalStadiumJapanBrazilFootball.jpg/150px-SingaporeNationalStadiumJapanBrazilFootball.jpg,Singapore
157,National,"55,000",East,Taiwan,Kaohsiung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/The_Main_Stadium_for_2009_World_Games_panorama.jpg/150px-The_Main_Stadium_for_2009_World_Games_panorama.jpg,Chinese
158,He,"55,000",East,China,"Changsha,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Helong_Stadium.jpg/150px-Helong_Stadium.jpg,Text esta vazio
